Gender,breakfast,calories_day,coffee,cook,cuisine,drink,eating_out,employment,exercise,fruit_day,greek_food,healthy_feeling,ideal_diet_coded,income,italian_food,marital_status,on_off_campus,pay_meal_out,self_perception_weight,sports,veggies_day,vitamins,weight
1,1,2,1,4,1,2,3,2,2,5,2,2,7,5,4,2,1,4,5,1,5,2,65
1,1,3,1,3,1,2,1,3,1,5,3,8,3,6,5,2,1,4,4,1,5,2,66
1,2,4,2,2,0,2,2,3,2,3,1,3,4,6,5,2,2,3,4,2,5,1,59
1,1,3,2,3,1,1,1,2,2,5,5,3,1,3,5,2,1,3,4,1,5,1,64
1,1,0,2,2,1,1,1,2,1,5,3,5,3,5,5,2,1,6,3,1,5,1,64
2,2,3,2,3,1,2,1,2,2,5,2,3,7,5,5,1,1,2,4,2,5,1,64
2,1,4,2,1,1,2,4,3,1,3,3,1,3,6,5,2,3,3,4,1,4,1,91
1,1,3,2,3,1,1,2,2,1,5,3,6,2,5,5,2,1,4,4,2,4,1,55
1,2,3,1,2,1,2,2,2,2,4,2,4,3,3,5,1,2,3,3,1,2,2,68
2,2,2,1,2,1,2,2,2,2,3,1,4,7,3,4,2,1,3,4,1,2,2,91
1,1,3,2,2,1,1,2,2,1,5,4,8,3,5,4,2,1,3,4,1,4,1,61
2,1,3,2,5,1,2,1,3,1,5,5,1,8,6,5,1,1,3,5,1,4,2,66
1,1,2,2,3,1,2,3,2,2,3,3,4,2,4,5,1,1,3,4,2,2,1,59
1,2,3,1,3,1,2,3,3,1,4,4,2,3,4,5,2,1,5,3,1,2,2,86
1,1,0,2,0,1,2,5,3,1,3,3,8,2,3,5,1,1,3,4,1,3,2,77
1,1,3,2,2,1,1,2,0,0,4,5,4,5,1,5,0,1,2,4,1,4,2,58
1,1,3,2,1,1,2,2,3,1,5,5,9,5,5,5,2,1,3,5,1,5,1,76
1,1,3,2,3,1,2,3,2,3,5,4,7,5,6,5,2,1,3,4,2,4,1,64
1,1,3,2,2,1,2,1,3,2,5,4,3,5,6,5,1,1,3,3,1,4,1,86
2,1,3,1,4,1,2,2,2,1,4,1,5,2,6,5,1,1,3,3,1,4,1,70
2,2,4,2,0,1,2,1,2,1,4,5,7,6,2,5,1,1,4,5,2,4,1,80
1,1,3,2,3,0,1,2,2,1,5,4,7,2,3,5,1,1,3,4,2,5,1,59
2,1,4,2,4,0,2,2,3,1,5,4,7,4,6,5,1,1,4,3,1,4,1,118
1,2,2,2,2,1,2,3,2,2,2,1,5,2,6,4,2,2,3,4,2,1,2,61
2,2,0,2,2,1,2,5,2,3,1,1,8,3,3,5,2,1,3,3,1,4,2,86
2,1,0,2,4,1,2,2,3,3,4,4,6,2,4,5,1,1,4,4,2,5,2,75
